Instantaneous_power_reading(W),Minimum_during_sampling_period(W),Maximum_during_sampling_period(W),Average_power_reading_over_sample_period(W),Day_of_Week,Month,Day,Time,Year,Sampling_period,Power_reading_state_is,Time_elapsed
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001032
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001036
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001040
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001044
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001048
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001052
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001056
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001060
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001064
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001068
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001072
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001076
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001080
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001084
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001088
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001092
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001096
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001100
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001104
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001108
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001112
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001116
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001120
267,241,267,261,Sun,Nov,15,23:41:49,2020,00000004,activated,00001124
267,241,267,261,Sun,Nov,15,23:41:49,2020,00000004,activated,00001128
267,241,267,261,Sun,Nov,15,23:41:49,2020,00000004,activated,00001132
267,241,267,261,Sun,Nov,15,23:41:49,2020,00000004,activated,00001136
267,241,267,261,Sun,Nov,15,23:41:49,2020,00000004,activated,00001140
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001145
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001150
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001155
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001160
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001165
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001170
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001175
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001180
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001185
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001190
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001195
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001200
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001205
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001210
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001215
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001220
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001225
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001230
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001235
279,262,279,266,Sun,Nov,15,23:41:49,2020,00000005,activated,00001240
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001245
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001250
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001255
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001260
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001265
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001270
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001275
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001280
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001285
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001290
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001295
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001300
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001305
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001310
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001315
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001320
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001325
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001330
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001335
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001340
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001345
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001350
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001355
